run_id,network,per_weight,preset_name,time_burn,bio_efficiency,survivor_debuff,camera_uptime,final_val_loss,final_play_rate,norm_loss,norm_rate,combined_score
sweep_anynet_s5b5_burn_and_debuff_per21,anynet_s5b5,21,burn_and_debuff,3.0,0.5,3.0,0.25,40.918258468310036,91.5,0.006874123662462192,0.5595977521383775,0.1369325609222103
sweep_anynet_s5b1_burn_and_debuff_per17,anynet_s5b1,17,burn_and_debuff,3.0,0.5,3.0,0.25,78.31773698329926,92.97222222222223,0.014293710880344512,0.5752735876898226,0.13742352130929436
sweep_anynet_s1b10_balanced_per21,anynet_s1b10,21,balanced,2.0,0.75,2.0,0.5,289.9298698107402,101.83333333333333,0.05627490254979602,0.6696243714805954,0.13850512034067858
sweep_anynet_s5b10_burn_lean_per21,anynet_s5b10,21,burn_lean,2.5,0.75,1.5,0.5,108.201336145401,93.75,0.020222241950064772,0.5835551611886992,0.13908902100843556
sweep_anynet_s5b1_balanced_per17,anynet_s5b1,17,balanced,2.0,0.75,2.0,0.5,38.60241895914078,90.66666666666667,0.006414690164906536,0.5507246376752954,0.1392728918128459
sweep_anynet_s5b5_burn_lean_per21,anynet_s5b5,21,burn_lean,2.5,0.75,1.5,0.5,44.92682844400406,90.88888888888889,0.007669373642798844,0.5530908015321173,0.13944132109032398
sweep_anynet_s5b1_balanced_per21,anynet_s5b1,21,balanced,2.0,0.75,2.0,0.5,31.58047518134117,90.11111111111111,0.005021624636531073,0.5448092280332407,0.14007236883559954
sweep_anynet_s5b5_burn_and_debuff_per25,anynet_s5b5,25,burn_and_debuff,3.0,0.5,3.0,0.25,70.96104755004247,91.47222222222223,0.012834236014590819,0.5593019816562749,0.1411933707133311
sweep_anynet_s5b5_balanced_per17,anynet_s5b5,17,balanced,2.0,0.75,2.0,0.5,47.47011603911718,90.44444444444444,0.008173929986399653,0.5483584738184735,0.1412142088449377
sweep_anynet_s5b5_burn_and_debuff_per17,anynet_s5b5,17,burn_and_debuff,3.0,0.5,3.0,0.25,63.259104092915855,90.94444444444444,0.0113062670830335,0.5536823424963228,0.1418096842092266
sweep_anynet_s5b5_burn_and_debuff_per13,anynet_s5b5,13,burn_and_debuff,3.0,0.5,3.0,0.25,50.282530089219414,90.36111111111111,0.008731877641449656,0.5474711623721653,0.14187096563736518
sweep_anynet_s5b1_burn_and_debuff_per21,anynet_s5b1,21,burn_and_debuff,3.0,0.5,3.0,0.25,47.32042807340622,90.16666666666667,0.008144233772410607,0.5454007689974462,0.14208073294145357
